Point,Coordinate_1,Coordinate_2,X_Axis,Y_Axis,Z_Axis
6,406,171,4.59163e-41,0,0
6,406,171,0.635105,0.356261,-0.0553852
9,32570,2997046032,4.59163e-41,0,0
9,354,188,4.59163e-41,0,0
9,354,188,0.553764,0.392809,-0.0359461
10,32570,2997046032,4.59163e-41,0,0
10,363,149,4.59163e-41,0,0
10,363,149,0.568538,0.31114,-0.0579706
0,32570,2997046032,4.59163e-41,0,0
0,298,273,4.59163e-41,0,0
0,298,273,0.46663,0.5698,7.4746e-07
5,32570,2997046032,4.59163e-41,0,0
5,378,202,4.59163e-41,0,0
5,378,202,0.591697,0.421783,-0.0329071
6,32570,2997046032,4.59163e-41,0,0
6,404,170,4.59163e-41,0,0
6,404,170,0.632792,0.355829,-0.05481
9,32570,2997046032,4.59163e-41,0,0
9,353,189,4.59163e-41,0,0
9,353,189,0.552623,0.394426,-0.0334282
10,32570,2997046032,4.59163e-41,0,0
10,361,151,4.59163e-41,0,0
10,361,151,0.565146,0.315198,-0.0548242
0,32570,2997046032,4.59163e-41,0,0
0,297,272,4.59163e-41,0,0
0,297,272,0.464992,0.56777,7.37802e-07
5,32570,2997046032,4.59163e-41,0,0
5,377,202,4.59163e-41,0,0
5,377,202,0.589106,0.422733,-0.0347105
6,32570,2997046032,4.59163e-41,0,0
6,403,171,4.59163e-41,0,0
6,403,171,0.630937,0.357537,-0.0578732
9,32570,2997046032,4.59163e-41,0,0
9,351,188,4.59163e-41,0,0
9,351,188,0.549919,0.393734,-0.0353185
10,32570,2997046032,4.59163e-41,0,0
10,360,152,4.59163e-41,0,0
10,360,152,0.5634,0.317189,-0.0581957
0,32570,2997046032,4.59163e-41,0,0
0,297,275,4.59163e-41,0,0
0,297,275,0.465425,0.573075,7.22093e-07
5,32570,2997046032,4.59163e-41,0,0
5,375,202,4.59163e-41,0,0
5,375,202,0.587442,0.422409,-0.0367096
6,32570,2997046032,4.59163e-41,0,0
6,402,173,4.59163e-41,0,0
6,402,173,0.629313,0.360743,-0.0607628
9,32570,2997046032,4.59163e-41,0,0
9,350,189,4.59163e-41,0,0
9,350,189,0.547654,0.39538,-0.0373326
10,32570,2997046032,4.59163e-41,0,0
10,360,153,4.59163e-41,0,0
10,360,153,0.562704,0.318897,-0.0610745
0,32570,2997046032,4.59163e-41,0,0
0,296,272,4.59163e-41,0,0
0,296,272,0.462952,0.56854,7.11916e-07
5,32570,2997046032,4.59163e-41,0,0
5,376,203,4.59163e-41,0,0
5,376,203,0.587791,0.424326,-0.0366974
6,32570,2997046032,4.59163e-41,0,0
6,402,173,4.59163e-41,0,0
6,402,173,0.628674,0.361085,-0.0605869
9,32570,2997046032,4.59163e-41,0,0
9,351,189,4.59163e-41,0,0
9,351,189,0.549126,0.394742,-0.0352511
10,32570,2997046032,4.59163e-41,0,0
10,359,153,4.59163e-41,0,0
10,359,153,0.561043,0.31932,-0.0619901
0,32570,2997046032,4.59163e-41,0,0
0,296,275,4.59163e-41,0,0
0,296,275,0.463542,0.574254,6.128e-07
5,32570,2997046032,4.59163e-41,0,0
5,376,203,4.59163e-41,0,0
5,376,203,0.588359,0.423124,-0.0302892
6,32570,2997046032,4.59163e-41,0,0
6,400,172,4.59163e-41,0,0
6,400,172,0.625101,0.359617,-0.0536301
9,32570,2997046032,4.59163e-41,0,0
9,351,190,4.59163e-41,0,0
9,351,190,0.548667,0.397231,-0.0287579
10,32570,2997046032,4.59163e-41,0,0
10,355,154,4.59163e-41,0,0
10,355,154,0.556058,0.322434,-0.0570497
0,32570,2997046032,4.59163e-41,0,0
0,299,278,4.59163e-41,0,0
0,299,278,0.468734,0.580568,6.06399e-07
5,32570,2997046032,4.59163e-41,0,0
5,378,200,4.59163e-41,0,0
5,378,200,0.591426,0.417074,-0.031762
6,32570,2997046032,4.59163e-41,0,0
6,399,170,4.59163e-41,0,0
6,399,170,0.624997,0.355769,-0.0557749
9,32570,2997046032,4.59163e-41,0,0
9,349,192,4.59163e-41,0,0
9,349,192,0.546789,0.400516,-0.0340657
10,32570,2997046032,4.59163e-41,0,0
10,354,156,4.59163e-41,0,0
10,354,156,0.553443,0.325934,-0.0624746
0,32570,2997046032,4.59163e-41,0,0
0,304,277,4.59163e-41,0,0
0,304,277,0.475982,0.578593,6.01766e-07
5,32570,2997046032,4.59163e-41,0,0
5,377,196,4.59163e-41,0,0
5,377,196,0.590256,0.408571,-0.0249086
6,32570,2997046032,4.59163e-41,0,0
6,398,167,4.59163e-41,0,0
6,398,167,0.621932,0.34839,-0.0449531
9,32570,2997046032,4.59163e-41,0,0
9,351,187,4.59163e-41,0,0
9,351,187,0.549172,0.390992,-0.0238392
10,32570,2997046032,4.59163e-41,0,0
10,354,153,4.59163e-41,0,0
10,354,153,0.553562,0.320522,-0.0496309
0,32570,2997046032,4.59163e-41,0,0
0,308,273,4.59163e-41,0,0
0,308,273,0.481484,0.568942,5.68855e-07
5,32570,2997046032,4.59163e-41,0,0
5,377,194,4.59163e-41,0,0
5,377,194,0.589776,0.404658,-0.032495
6,32570,2997046032,4.59163e-41,0,0
6,393,162,4.59163e-41,0,0
6,393,162,0.61559,0.337691,-0.0533827
9,32570,2997046032,4.59163e-41,0,0
9,351,187,4.59163e-41,0,0
9,351,187,0.548982,0.389685,-0.0272172
10,32570,2997046032,4.59163e-41,0,0
10,349,159,4.59163e-41,0,0
10,349,159,0.546107,0.331466,-0.0549464
0,32570,2997046032,4.59163e-41,0,0
0,308,274,4.59163e-41,0,0
0,308,274,0.482556,0.572231,4.59155e-07
5,32570,2997046032,4.59163e-41,0,0
5,373,193,4.59163e-41,0,0
5,373,193,0.584017,0.403542,-0.0254868
6,32570,2997046032,4.59163e-41,0,0
6,389,160,4.59163e-41,0,0
6,389,160,0.609211,0.33486,-0.0435537
9,32570,2997046032,4.59163e-41,0,0
9,349,186,4.59163e-41,0,0
9,349,186,0.546829,0.388512,-0.0186142
10,32570,2997046032,4.59163e-41,0,0
10,346,156,4.59163e-41,0,0
10,346,156,0.541886,0.325633,-0.0423597
0,32570,2997046032,4.59163e-41,0,0
0,314,281,4.59163e-41,0,0
0,314,281,0.4912,0.586721,3.86642e-07
5,32570,2997046032,4.59163e-41,0,0
5,372,193,4.59163e-41,0,0
5,372,193,0.581693,0.403769,-0.0229946
6,32570,2997046032,4.59163e-41,0,0
6,385,159,4.59163e-41,0,0
6,385,159,0.602454,0.332741,-0.0411458
9,32570,2997046032,4.59163e-41,0,0
9,346,189,4.59163e-41,0,0
9,346,189,0.542154,0.395056,-0.0171102
10,32570,2997046032,4.59163e-41,0,0
10,344,159,4.59163e-41,0,0
10,344,159,0.538141,0.33333,-0.0441079
0,32570,2997046032,4.59163e-41,0,0
0,316,282,4.59163e-41,0,0
0,316,282,0.495186,0.587586,3.7614e-07
5,32570,2997046032,4.59163e-41,0,0
5,368,193,4.59163e-41,0,0
5,368,193,0.57504,0.403858,-0.0267681
6,32570,2997046032,4.59163e-41,0,0
6,378,156,4.59163e-41,0,0
6,378,156,0.591345,0.325591,-0.0518226
9,32570,2997046032,4.59163e-41,0,0
9,342,191,4.59163e-41,0,0
9,342,191,0.534415,0.399807,-0.0254395
10,32570,2997046032,4.59163e-41,0,0
10,337,157,4.59163e-41,0,0
10,337,157,0.526587,0.328775,-0.0615723
0,32570,2997046032,4.59163e-41,0,0
0,319,281,4.59163e-41,0,0
0,319,281,0.499518,0.587461,2.87029e-07
5,32570,2997046032,4.59163e-41,0,0
5,366,194,4.59163e-41,0,0
5,366,194,0.572905,0.404383,-0.0264246
6,32570,2997046032,4.59163e-41,0,0
6,373,156,4.59163e-41,0,0
6,373,156,0.583551,0.325972,-0.0476183
9,32570,2997046032,4.59163e-41,0,0
9,340,193,4.59163e-41,0,0
9,340,193,0.532382,0.402424,-0.0251139
10,32570,2997046032,4.59163e-41,0,0
10,333,164,4.59163e-41,0,0
10,333,164,0.520834,0.342008,-0.0569785
0,32570,2997046032,4.59163e-41,0,0
0,319,284,4.59163e-41,0,0
0,319,284,0.498681,0.591759,2.19652e-07
5,32570,2997046032,4.59163e-41,0,0
5,364,194,4.59163e-41,0,0
5,364,194,0.568762,0.404316,-0.0227694
6,32570,2997046032,4.59163e-41,0,0
6,368,157,4.59163e-41,0,0
6,368,157,0.576114,0.327501,-0.0377446
9,32570,2997046032,4.59163e-41,0,0
9,337,195,4.59163e-41,0,0
9,337,195,0.527858,0.407955,-0.0214391
10,32570,2997046032,4.59163e-41,0,0
10,328,166,4.59163e-41,0,0
10,328,166,0.512915,0.346768,-0.0473946
0,32570,2997046032,4.59163e-41,0,0
