Point,Coordinate_1,Coordinate_2,X_Axis,Y_Axis,Z_Axis
5,32679,845699152,4.59121e-41,0,0
5,501,130,4.59121e-41,0,0
5,501,130,0.78313,0.271147,-0.0296373
6,32679,845699152,4.59121e-41,0,0
6,520,92,4.59121e-41,0,0
6,520,92,0.813927,0.191732,-0.0505622
9,32679,845699152,4.59121e-41,0,0
9,474,120,4.59121e-41,0,0
9,474,120,0.740632,0.250318,-0.0326337
10,32679,845699152,4.59121e-41,0,0
10,479,73,4.59121e-41,0,0
10,479,73,0.749992,0.152714,-0.0495976
0,32679,845699152,4.59121e-41,0,0
0,438,217,4.59121e-41,0,0
0,438,217,0.684947,0.45315,4.59376e-07
5,32679,845699152,4.59121e-41,0,0
5,502,128,4.59121e-41,0,0
5,502,128,0.785898,0.267781,-0.0358075
6,32679,845699152,4.59121e-41,0,0
6,523,90,4.59121e-41,0,0
6,523,90,0.817322,0.188869,-0.0586124
9,32679,845699152,4.59121e-41,0,0
9,475,118,4.59121e-41,0,0
9,475,118,0.743373,0.246948,-0.0386436
10,32679,845699152,4.59121e-41,0,0
10,482,71,4.59121e-41,0,0
10,482,71,0.753663,0.149275,-0.0574513
0,32679,845699152,4.59121e-41,0,0
0,443,216,4.59121e-41,0,0
0,443,216,0.69221,0.451326,4.55679e-07
5,32679,845699152,4.59121e-41,0,0
5,506,125,4.59121e-41,0,0
5,506,125,0.791909,0.26089,-0.0328339
6,32679,845699152,4.59121e-41,0,0
6,525,87,4.59121e-41,0,0
6,525,87,0.821023,0.181874,-0.0556246
9,32679,845699152,4.59121e-41,0,0
9,479,115,4.59121e-41,0,0
9,479,115,0.749932,0.240403,-0.0363057
10,32679,845699152,4.59121e-41,0,0
10,485,68,4.59121e-41,0,0
10,485,68,0.758738,0.142818,-0.054924
0,32679,845699152,4.59121e-41,0,0
0,449,214,4.59121e-41,0,0
0,449,214,0.702972,0.447244,4.76844e-07
5,32679,845699152,4.59121e-41,0,0
5,511,122,4.59121e-41,0,0
5,511,122,0.799447,0.25517,-0.0357349
6,32679,845699152,4.59121e-41,0,0
